race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
1,1,3y,f,56,TUGAY ALICI,1.31.26,1.5,49,1,42
1,2,3y,f,58,ONUR YILDIZ,1.33.05,3.75,20,2,43
1,3,3y,f,56,SELİM İPEK,1.33.17,28.7,3,6,33
1,4,3y,f,56,OĞUZ EREN,1.33.65,14.85,3,5,39
1,5,3y,m,57,BERKANT GÖKÇE,1.34.30,4.55,17,3,51
1,6,3y,m,58,YUNUS EMRE YÜKSEL,1.37.55,9.9,7,4,42
2,1,4y,m,58,MAHMUT TURAN,1.42.45,6.35,16,3,27
2,2,4y,f,53,SEZER ÇELİK,1.43.00,17.5,3,7,28
2,3,4y,f,56,ÇETİN OK,1.43.56,21.95,2,6,0
2,4,4y,m,56,YUNUS EMRE YÜKSEL,1.43.79,1.75,34,1,33
2,5,4y,m,58,MEHMET AKYAVUZ,1.43.80,6.35,14,4,31
2,6,4y,f,56,TUGAY ALICI,1.44.66,14.85,6,5,27
2,7,4y,m,58,OĞUZ EREN,1.48.28,37.95,2,8,0
2,8,4y,m,55,CEM ALTUN,1.50.09,21.95,2,6,11
2,9,4y,m,58,HÜSEYİN TURAN,1.50.80,3.75,22,2,37
3,1,3y,f,55,ALİ YILDIZ,1.17.02,1.85,66,1,57
3,2,3y,f,55,TUGAY ALICI,1.17.57,1.85,26,2,41
3,3,3y,f,51,ÇAĞLAR TAŞCI,1.17.66,5.9,5,3,40
3,4,3y,f,53,YUNUS EMRE YÜKSEL,1.18.76,16.05,2,4,22
3,5,3y,f,53,SEZER ÇELİK,1.20.36,23.05,1,5,0
4,1,5y,m,57,TOLGA YILDIZ,2.22.75,2.65,22,2,92
4,2,5y,m,57,HALİL KAPLAN,2.23.23,4.25,17,3,85
4,3,8y,f,55,ONUR YILDIZ,2.23.26,3.0,28,1,95
4,4,7y,m,57,ALİ YILDIZ,2.23.87,14.55,6,7,84
4,5,6y,m,55,KAANCAN GÖKÇE,2.23.96,14.45,8,6,81
4,6,7y,m,57,ONUR ATMACA,2.28.25,6.6,10,4,86
4,7,7y,m,57,MEHMET AKYAVUZ,2.29.03,12.5,8,5,84
4,8,7y,f,55,SEZER ÇELİK,2.36.92,32.15,2,8,65
5,1,4y,m,57,SELİM İPEK,1.22.03,2.8,24,1,45
5,2,4y,m,63,ALİ YILDIZ,1.22.71,12.55,6,7,57
5,3,4y,f,53,SERCAN TIRPAN,1.22.84,7.1,10,5,37
5,4,5y,m,59,ZÜLFÜKAR KARABULUT,1.22.95,7.05,12,3,49
5,5,4y,m,58,AKIN SÖZEN,1.23.33,2.9,24,2,48
5,6,4y,m,58,CEM ALTUN,1.24.49,9.05,11,4,51
5,7,4y,m,54,ONUR ATMACA,1.26.38,28.15,3,8,39
5,8,7y,m,55,TUGAY ALICI,1.27.36,9.9,9,6,39
5,9,6y,m,53,ÇETİN CANPOLAT,1.30.47,33.3,2,9,35
