result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.0,1,0.5333333333333333,0.002438363587103766,0.5764705882352941,2024-01-01_Bursa_1,0.8717639716403519,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,1,0.6666666666666666,0.014630181522622597,0.23529411764705882,2024-01-01_Bursa_1,0.843936062330544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,1,0.5333333333333333,0.14982389596315362,0.03529411764705882,2024-01-01_Bursa_1,0.8437709349234541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,1,0.5333333333333333,0.07477648333784882,0.03529411764705882,2024-01-01_Bursa_1,0.8431108511327106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0.6,0.01896505012191818,0.2,2024-01-01_Bursa_1,0.8299833810711014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0.6666666666666666,0.047954483879707396,0.08235294117647059,2024-01-01_Bursa_1,0.7905242452316869,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0.6666666666666666,0.028718504470333243,0.18823529411764706,2024-01-01_Bursa_2,0.7305454907947295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.125,1,0.3333333333333333,0.08913573557301545,0.03529411764705882,2024-01-01_Bursa_2,0.7197291351682448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.25,1,0.5333333333333333,0.11324844215659713,0.023529411764705882,2024-01-01_Bursa_2,0.7191010998586703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.375,0,0.5333333333333333,0.003793010024383636,0.4,2024-01-01_Bursa_2,0.7188433544733033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.5,0,0.6666666666666666,0.028718504470333243,0.16470588235294117,2024-01-01_Bursa_2,0.7188321507613553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.625,1,0.5333333333333333,0.07477648333784882,0.07058823529411765,2024-01-01_Bursa_2,0.7078900632405893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.75,0,0.6666666666666666,0.19994581414250887,0.023529411764705882,2024-01-01_Bursa_2,0.6659358274626752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.875,0,0.4666666666666667,0.11324844215659713,0.023529411764705882,2024-01-01_Bursa_2,0.6460919533229939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,0,0.6666666666666666,0.014630181522622597,0.25882352941176473,2024-01-01_Bursa_2,0.6453939969905388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,1,0.4666666666666667,0.004334868599295585,0.7764705882352941,2024-01-01_Bursa_3,0.8890924681283817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1,0.4666666666666667,0.004334868599295585,0.3058823529411765,2024-01-01_Bursa_3,0.88814664846543,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,0.2,0.026280140883229483,0.058823529411764705,2024-01-01_Bursa_3,0.8879920065053677,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,1,0.3333333333333333,0.0812787862367922,0.023529411764705882,2024-01-01_Bursa_3,0.8708642392989233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0.3333333333333333,0.11920888648062856,0.011764705882352941,2024-01-01_Bursa_3,0.838859603331118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0.6,0.008669737198591168,0.25882352941176473,2024-01-01_Bursa_4,0.7609555924052477,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0,0.6,0.01733947439718234,0.2,2024-01-01_Bursa_4,0.7530215724189001,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,1,0.4666666666666667,0.010566242210782987,0.32941176470588235,2024-01-01_Bursa_4,0.7529966317050677,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.42857142857142855,0,0.6,0.07315090761311298,0.07058823529411765,2024-01-01_Bursa_4,0.7524897306854529,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5714285714285714,0,0.4666666666666667,0.07260904903820103,0.09411764705882353,2024-01-01_Bursa_4,0.7524149785957078,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7142857142857143,0,0.6,0.030073150907613116,0.11764705882352941,2024-01-01_Bursa_4,0.7128414518897337,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8571428571428571,0,0.6,0.06204280682741804,0.09411764705882353,2024-01-01_Bursa_4,0.7053006544759327,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0.4666666666666667,0.16851801679761583,0.023529411764705882,2024-01-01_Bursa_4,0.6534662850614298,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0,0.6,0.009482525060959089,0.2823529411764706,2024-01-01_Bursa_5,0.9119716314147052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
